菜名,类型,主要原料,配料/调料,做法,备注
鱼香肉丝,荤菜,猪肉丝/胡萝卜/木耳,"郫县豆瓣酱/醋/糖/生抽/葱姜蒜","1. 所有材料切丝。2. 热锅炒肉丝至变色盛出。3. 葱姜蒜爆香，豆瓣酱炒红油，入胡萝卜木耳翻炒。4. 下肉丝和调味料炒匀，勾薄芡即可。",酸甜微辣下饭 
回锅肉,荤菜,五花肉/青蒜/青椒,"豆瓣酱/甜面酱/蒜/姜","1. 五花肉冷水下锅煮熟，切片。2. 油锅炒豆瓣酱、甜面酱和蒜姜，放入肉片炒香。3. 加青椒青蒜，翻炒至断生即可。",肥而不腻
宫保鸡丁,荤菜,鸡胸肉/花生/黄瓜,"干辣椒/花椒/生抽/醋/糖/葱姜蒜","1. 鸡肉切丁腌制。2. 炒花生捞出。3. 炒葱姜蒜和辣椒花椒，下鸡丁。4. 加调料，入黄瓜丁和花生，翻炒均匀。",辣中带甜
麻婆豆腐,荤菜,嫩豆腐/猪肉末,"豆瓣酱/花椒粉/蒜末/酱油","1. 豆腐切块焯水。2. 炒肉末、蒜和豆瓣酱，下豆腐。3. 加酱油和花椒粉，小火焖几分钟，撒葱花。",麻辣鲜香
水煮牛肉,荤菜,牛肉/豆芽/生菜,"干辣椒/花椒/豆瓣酱/蒜","1. 牛肉切片腌制。2. 豆芽生菜焯水铺底。3. 油锅炒豆瓣酱和蒜，入牛肉翻炒，加水煮至变色。4. 倒入蔬菜上，撒辣椒花椒热油泼香。",辣而不燥
小炒黄牛肉,荤菜,牛肉/青红椒,"蒜/姜/生抽/干辣椒","1. 牛肉切片腌制。2. 炒蒜姜，下牛肉大火快炒。3. 加青红椒和辣椒，翻炒均匀出锅。",快手下饭
口水鸡,荤菜,鸡腿/黄瓜,"辣椒油/花椒粉/蒜泥/酱油/醋","1. 鸡腿煮熟切块。2. 黄瓜切丝铺底。3. 淋上辣椒油、花椒粉、蒜泥、酱油和醋调的酱汁。",凉菜必备
辣子鸡,荤菜,鸡翅中/鸡腿,"干辣椒/花椒/蒜/生抽/料酒","1. 鸡块腌制后油炸。2. 留少许油，爆香辣椒花椒。3. 下鸡块，炒匀，加蒜和生抽料酒。",麻辣酥香
青椒肉丝,荤菜,猪肉丝/青椒,"蒜/生抽/老抽/淀粉","1. 肉丝腌制，青椒切丝。2. 油热炒肉丝，断生盛出。3. 炒青椒，下肉丝调味翻炒。",家常快手
酱爆鸡丁,荤菜,鸡胸肉/青椒,"甜面酱/生抽/蒜/糖","1. 鸡丁腌制，青椒切丁。2. 炒蒜和鸡丁，加甜面酱、糖、青椒，翻炒均匀。",酱香浓郁
酱香排骨,荤菜,猪小排,"豆瓣酱/甜面酱/生抽/料酒/葱姜","1. 排骨焯水后炒香，加入酱料。2. 加水小火焖20分钟收汁。",咸香入味
干锅肥肠,荤菜,熟肥肠/藕片/土豆片,"郫县豆瓣酱/干辣椒/花椒/蒜","1. 肥肠煮熟切块。2. 炒豆瓣酱、干辣椒花椒，下藕片土豆片，最后加肥肠大火翻炒。",香辣过瘾
泡椒鸡杂,荤菜,鸡胗/鸡肠/泡椒/青椒,"生抽/蒜/姜","1. 鸡杂处理干净切片。2. 爆炒蒜姜、泡椒和青椒，下鸡杂快炒。",鲜香脆嫩
辣子兔,荤菜,兔肉,"干辣椒/花椒/蒜/生抽/料酒","1. 兔肉切块腌制。2. 油炸兔块至酥。3. 爆炒干辣椒花椒，下兔块大火翻炒。",香麻有嚼劲
豆花牛肉,荤菜,牛肉/内酯豆腐,"郫县豆瓣酱/花椒粉/蒜","1. 牛肉切片腌制。2. 豆腐切块。3. 炒牛肉片，加豆瓣酱、豆腐、花椒粉小火煮。",麻辣滑嫩
酸菜鱼,荤菜,草鱼/酸菜,"豆瓣酱/干辣椒/花椒","1. 鱼切片腌制。2. 炒酸菜，加豆瓣酱、辣椒花椒，加水煮沸，下鱼片煮熟。",酸辣开胃
蒜泥白肉,荤菜,猪里脊/五花肉/黄瓜,"蒜泥/酱油/辣椒油/醋","1. 猪肉煮熟切片。2. 黄瓜切片铺底，肉片码好。3. 蒜泥、酱油、醋、辣椒油调汁淋肉上。",夏日凉菜
回锅藕片,荤菜,五花肉/藕片,"豆瓣酱/青椒/生抽/姜蒜","1. 五花肉焯水切片，藕切片。2. 炒豆瓣酱和姜蒜，下五花肉藕片青椒翻炒。",鲜香脆爽
酱爆猪肝,荤菜,猪肝/青椒,"甜面酱/生抽/姜蒜","1. 猪肝切片泡水。2. 快炒姜蒜、猪肝，入青椒和甜面酱翻炒。",脆嫩不腥
豆瓣鱼,荤菜,鲫鱼/豆瓣酱/姜蒜,"生抽/干辣椒/花椒","1. 鱼去鳞划花刀，煎至微黄。2. 下姜蒜豆瓣酱，干辣椒、花椒，加水炖10分钟。",鲜香下饭
酸辣土豆丝,素菜,土豆/青红椒,"干辣椒/醋/葱姜蒜","1. 土豆切丝泡水，青红椒切丝。2. 炒葱姜蒜、干辣椒，下土豆丝青红椒，快炒加醋。",脆爽酸辣
干煸四季豆,素菜,四季豆/猪肉末,"干辣椒/花椒/葱姜蒜/生抽","1. 四季豆掰段煸干。2. 炒肉末，下葱姜蒜辣椒，合四季豆调味翻炒。",咸香有嚼头
炝拌海带丝,素菜,海带丝/胡萝卜丝,"蒜/醋/辣椒油","1. 海带丝、胡萝卜丝焯水。2. 蒜末、辣椒油、醋、盐拌匀。",清爽凉菜
凉拌木耳,素菜,黑木耳/黄瓜/胡萝卜,"蒜/醋/辣椒油/生抽","1. 木耳泡发焯水，切丝。2. 黄瓜胡萝卜切丝。3. 蒜末、醋、辣椒油、酱油拌匀。",简单快手
手撕包菜,素菜,包菜/干辣椒,"蒜/生抽/醋","1. 包菜手撕片。2. 炒蒜和干辣椒，下包菜快炒，调生抽和醋。",香脆可口
干煸豆角,素菜,豆角/猪肉末,"干辣椒/花椒/蒜/生抽","1. 豆角掰段煸干。2. 炒肉末、蒜和干辣椒，下豆角翻炒加生抽。",家常必备
醋溜白菜,素菜,白菜,"干辣椒/醋/蒜/生抽","1. 白菜切片。2. 炒蒜和辣椒，下白菜大火快炒，调醋。",酸爽开胃
麻辣藕片,素菜,藕/干辣椒/花椒,"葱姜蒜/生抽/辣椒油","1. 藕切片焯水。2. 炒葱姜蒜、干辣椒花椒，下藕片，调味加辣椒油。",麻辣脆嫩
泡椒莴笋,素菜,莴笋/泡椒/胡萝卜,"蒜/醋/生抽","1. 莴笋刮皮切片，胡萝卜切丝。2. 泡椒、蒜爆香，下莴笋胡萝卜翻炒，调醋和生抽。",微酸微辣
凉拌皮蛋,素菜,皮蛋/小米椒/香菜,"酱油/醋/蒜/辣椒油","1. 皮蛋切块，小米椒香菜切碎。2. 蒜末、酱油、醋、辣椒油拌匀。",开胃凉菜
蒜泥黄瓜,素菜,黄瓜,"蒜泥/生抽/醋/辣椒油","1. 黄瓜拍碎切块。2. 蒜泥、酱油、醋、辣椒油拌匀。",清爽解腻
凉拌三丝,素菜,胡萝卜/黄瓜/粉丝,"酱油/醋/蒜","1. 粉丝煮熟过凉水，胡萝卜黄瓜切丝。2. 所有材料和调料拌匀。",快手凉菜
酱烧茄子,素菜,茄子/青红椒,"豆瓣酱/生抽/蒜","1. 茄子切块煎软，炒蒜豆瓣酱，加入茄子青红椒翻炒，加水焖至软烂。",软糯入味
红油耳片,凉菜,猪耳/黄瓜,"辣椒油/花椒粉/酱油/醋","1. 猪耳煮熟切片，黄瓜切片。2. 辣椒油、花椒粉、酱油、醋调酱汁拌匀。",麻辣Q弹